# xboxkrnl.exe: 206 function imports (ordinal -> name -> thunk VA)
0x014e vsprintf @0x832F1304
0x0151 vswprintf @0x832F1A54
0x0152 KeTlsAlloc @0x832F1524
0x0153 KeTlsFree @0x832F1514
0x0154 KeTlsGetValue @0x832F02C4
0x0155 KeTlsSetValue @0x832F1504
0x018f XeCryptShaInit @0x832F1144
0x0190 XeCryptShaUpdate @0x832F1154
0x0191 XeCryptShaFinal @0x832F1164
0x0192 XeCryptSha @0x832F1334
0x0194 XexCheckExecutablePrivilege @0x832F0444
0x0195 XexGetModuleHandle @0x832F0424
0x0196 XexGetModuleSection @0x832F0FF4
0x0197 XexGetProcedureAddress @0x832F0404
0x0199 XexLoadImage @0x832F0FE4
0x019b XexLoadImageHeaders @0x832F10B4
0x01a1 XexUnloadImage @0x832F0FD4
0x01a5 __C_specific_handler @0x832F12A4
0x01b1 VdCallGraphicsNotificationRoutines @0x832F05F4
0x01b4 VdEnableDisableClockGating @0x832F0564
0x01b6 VdEnableRingBufferRPtrWriteBack @0x832F04D4
0x01b9 VdGetCurrentDisplayGamma @0x832F05B4
0x01ba VdGetCurrentDisplayInformation @0x832F0684
0x01bd VdGetSystemCommandBuffer @0x832F0554
0x01c2 VdInitializeEngines @0x832F06D4
0x01c3 VdInitializeRingBuffer @0x832F04E4
0x01c5 VdInitializeScalerCommandBuffer @0x832F0604
0x01c6 VdIsHSIOTrainingSucceeded @0x832F06E4
0x01c7 VdPersistDisplay @0x832F0534
0x01c9 VdQueryVideoFlags @0x832F05E4
0x01ca VdQueryVideoMode @0x832F05D4
0x01d3 VdSetDisplayMode @0x832F0694
0x01d4 VdSetDisplayModeOverride @0x832F06A4
0x01d5 VdSetGraphicsInterruptCallback @0x832F06C4
0x01d9 VdSetSystemCommandBufferGpuIdentifierAddress @0x832F0504
0x01dc VdShutdownEngines @0x832F06B4
0x01df KiApcNormalRoutineNop @0x832F04C4
0x01f3 XAudioRegisterRenderDriverClient @0x832F1944
0x01f4 XAudioUnregisterRenderDriverClient @0x832F1934
0x01f5 XAudioSubmitRenderDriverFrame @0x832F0374
0x01f8 XAudioGetVoiceCategoryVolume @0x832F0354
0x01ff XAudioGetSpeakerConfig @0x832F1954
0x0224 XMACreateContext @0x832F1904
0x0226 XMAReleaseContext @0x832F1914
0x0246 XeKeysGetConsoleID @0x832F1624
0x024e XeKeysObscureKey @0x832F1664
0x0251 XeKeysAesCbcUsingKey @0x832F1674
0x0256 XeKeysConsolePrivateKeySign @0x832F1454
0x0257 XeKeysConsoleSignatureVerification @0x832F1444
0x0259 StfsCreateDevice @0x832F1434
0x025a StfsControlDevice @0x832F1424
0x025b VdSwap @0x832F0544
0x0269 VdRetrainEDRAM @0x832F0634
0x026a VdRetrainEDRAMWorker @0x832F0644
0x02b8 NtCancelIoFile @0x832F1A64
0x030d PsCamDeviceRequest @0x832F15B4
0x0310 XeCryptSha256Init @0x832F11A4
0x0311 XeCryptSha256Update @0x832F1174
0x0312 XeCryptSha256Final @0x832F11D4
0x0314 XeCryptSha384Init @0x832F11B4
0x0315 XeCryptSha384Update @0x832F1184
0x0318 XeCryptSha384Final @0x832F11E4
0x031f XeCryptSha512Init @0x832F11C4
0x0323 XeCryptSha512Update @0x832F1194
0x0324 XeCryptSha512Final @0x832F11F4
0x0332 EtxProducerLog @0x832F1594
0x0334 EtxProducerRegister @0x832F15C4
0x0335 EtxProducerUnregister @0x832F15D4
0x034d XAudioEnableDucker @0x832F0254
0x0350 XAudioGetDuckerLevel @0x832F1534
0x0351 XAudioGetDuckerThreshold @0x832F1574
0x0353 XAudioGetDuckerAttackTime @0x832F1554
0x0355 XAudioGetDuckerReleaseTime @0x832F1544
0x0357 XAudioGetDuckerHoldTime @0x832F1564
