# xam.xex: 182 function imports (ordinal -> name -> thunk VA)
0x02c7 XamShowMarketplaceUI @0x832F0E64
0x02c8 XamShowPlayersUI @0x832F0E24
0x02ca XamShowMessageBoxUI @0x832F0E84
0x02cb XamShowDeviceSelectorUI @0x832F0E74
0x02cd XamShowGameInviteUI @0x832F0E94
0x02d5 XamShowGamerCardUIForXUID @0x832F0E44
0x02d9 XamShowDirtyDiscErrorUI @0x832F0EA4
0x02dc XamShowMessageBoxUIEx @0x832F0F54
0x02e7 XamShowMarketplaceDownloadItemsUI @0x832F18F4
0x02ec XamIsUIActive @0x832F16F4
0x02ee XamUserCreateAchievementEnumerator @0x832F0DF4
0x02f5 XamReadTileToTexture @0x832F0DD4
0x030a XamParseGamerTileKey @0x832F0DE4
0x030c XamVoiceCreate @0x832F1694
0x030d XamVoiceHeadsetPresent @0x832F0264
0x030e XamVoiceSubmitPacket @0x832F02F4
0x030f XamVoiceClose @0x832F1684
0x0316 XamSessionCreateHandle @0x832F09F4
0x0317 XamSessionRefObjByHandle @0x832F09E4
0x0356 XamShowNuiGuideUI @0x832F0EF4
0x03cb XGetAVPack @0x832F0F64
0x03cc XGetGameRegion @0x832F0794
0x03d1 XGetVideoMode @0x832F17F4
0x03d2 XamGetLanguage @0x832F0A74
0x046b XamShowNuiTroubleshooterUI @0x832F16A4
0x0470 XamShowNuiDeviceSelectorUI @0x832F0F14
0x0477 XamShowNuiMessageBoxUI @0x832F0F24
0x047a XamShowNuiSigninUI @0x832F0F04
0x0482 XamXlfsInitializeUploadQueue @0x832F1734
0x0483 XamXlfsUninitializeUploadQueue @0x832F1744
0x0484 XamXlfsMountUploadQueueInstance @0x832F1764
0x0485 XamXlfsUnmountUploadQueueInstance @0x832F1754
0x0497 XamVoiceIsActiveProcess @0x832F02E4
0x04a5 XamUserGetAgeGroup @0x832F18D4
0x051f XamLrcSetTitlePort @0x832F0854
0x0520 XamLrcVerifyClientId @0x832F0804
0x0521 XamLrcEncryptDecryptTitleMessage @0x832F0814
0x05a0 XampXAuthIsLocalSocketAllowed @0x832F0874
0x05d7 XamGetLocaleEx @0x832F18E4
0x05fb XamLrcLogSessionSummary @0x832F0834
0x05fc XamLrcLogError @0x832F07F4
0x0686 XamXStudioRequest @0x832F1714
0x07e1 XamGetActiveDashAppInfo @0x832F1704
0x0849 XamReadBiometricData @0x832F17C4
0x084a XamWriteBiometricData @0x832F17D4
0x0863 XamUserNuiEnableBiometric @0x832F17E4
0x0865 XamNuiCameraRememberFloor @0x832F1854
0x0869 XamUserNuiGetUserIndex @0x832F16B4
0x086a XamUserNuiGetEnrollmentIndex @0x832F1774
0x086d XamNuiCameraTiltSetCallback @0x832F1864
0x0870 XamNuiCameraTiltGetStatus @0x832F1804
0x0873 XamNuiIdentityGetSessionId @0x832F16C4
0x0880 XamNuiCameraElevationSetAngle @0x832F1844
0x0881 XamNuiCameraElevationGetAngle @0x832F1834
0x0883 XamNuiCameraElevationStopMovement @0x832F1824
0x0885 XamNuiGetDeviceStatus @0x832F0ED4
0x0895 XamNuiCameraTiltReportStatus @0x832F1814
